TIMECODE,HOME.LATITUDE,HOME.LONGITUDE,DATE,GPS.LATITUDE,GPS.LONGITUDE,GPS.SATELLITES,BAROMETER,ISO,SHUTTER,FNUM,SPEED.TWOD,SPEED.VERTICAL,SPEED.THREED,DISTANCE,propInt,propInt2,propExtra,NAME
"00:00:38,000","-20.2532","149.0251","1501953148000","-20.2534","149.0253","16","59.1875","100","60","2.2","0","-0.04499999999998465","0.04499999999998465","65.0256080027194","123","456","Prop added in a second instance","mavic_pro"
"00:00:39,000","-20.2532","149.0251","1501953149000","-20.2534","149.0253","16","59.16250000000001","100","60","2.2","0","-0.0899999999999693","0.0899999999999693","65.05060800271939","123","456","Prop added in a second instance","mavic_pro"
"00:00:40,000","-20.2532","149.0251","1501953150000","-20.2534","149.0253","16","59.15000000000001","100","60","2.2","0","-0.04499999999998465","0.04499999999998465","65.06310800271939","123","456","Prop added in a second instance","mavic_pro"
"00:00:41,000","-20.2532","149.0251","1501953151000","-20.2534","149.0253","16","59.13750000000001","100","60","2.2","0","-0.045000000000010226","0.045000000000010226","65.07560800271939","123","456","Prop added in a second instance","mavic_pro"
"00:00:42,000","-20.2532","149.0251","1501953152000","-20.2534","149.0253","16","59.112500000000004","100","60","2.2","0","-0.09000000000002045","0.09000000000002045","65.1006080027194","123","456","Prop added in a second instance","mavic_pro"
"00:00:43,000","-20.2532","149.0251","1501953153000","-20.2534","149.0253","16","59.03750000000001","100","60","2.2","0","-0.26999999999998464","0.26999999999998464","65.1756080027194","123","456","Prop added in a second instance","mavic_pro"
"00:00:44,000","-20.2532","149.0251","1501953154000","-20.2534","149.0253","15","58.900000000000006","100","60","2.2","0","-0.49500000000001027","0.49500000000001027","65.3131080027194","123","456","Prop added in a second instance","mavic_pro"
"00:00:45,000","-20.2532","149.0251","1501953155000","-20.2534","149.0253","15","58.65","100","60","2.2","0","-0.9000000000000256","0.9000000000000256","65.56310800271942","123","456","Prop added in a second instance","mavic_pro"
"00:00:46,000","-20.2532","149.0251","1501953156000","-20.2534","149.0253","16","58.2875","100","60","2.2","0","-1.3049999999999897","1.3049999999999897","65.92560800271941","123","456","Prop added in a second instance","mavic_pro"
"00:00:47,000","-20.2532","149.0251","1501953157000","-20.2534","149.0253","16","57.787499999999994","100","60","2.2","0","-1.8000000000000254","1.8000000000000254","66.42560800271943","123","456","Prop added in a second instance","mavic_pro"
"00:00:48,000","-20.2532","149.0251","1501953158000","-20.2534","149.0253","16","57.137499999999996","100","60","2.2","0","-2.339999999999995","2.339999999999995","67.07560800271943","123","456","Prop added in a second instance","mavic_pro"
"00:00:49,000","-20.2532","149.0251","1501953159000","-20.2534","149.0253","16","56.3","100","60","2.2","0","-3.0149999999999952","3.0149999999999952","67.91310800271944","123","456","Prop added in a second instance","mavic_pro"
"00:00:50,000","-20.2532","149.0251","1501953160000","-20.2534","149.0253","16","55.275","100","60","2.2","0","-3.689999999999995","3.689999999999995","68.93810800271945","123","456","Prop added in a second instance","mavic_pro"
"00:00:51,000","-20.2532","149.0251","1501953161000","-20.2534","149.0253","15","54.074999999999996","100","60","2.2","0","-4.320000000000011","4.320000000000011","70.13810800271945","123","456","Prop added in a second instance","mavic_pro"
